"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@crampell Wouldn't want cancer treatment in Kansas to have to be the same as what works in other states. People are… https://t.co/VA5DLJBncC",FALSE,0,"crampell",2017-09-22 15:53:02,TRUE,"911251638177820672","911257036918280192","14348157","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PhilWalkerInMD",0,FALSE,FALSE,NA,NA
"But why are you all not supporting these great well educated Western Israeli leaders in their War on the weak &amp; hel… https://t.co/MFKhK6aSes",FALSE,1,NA,2017-09-22 15:49:29,TRUE,NA,"911256142201933825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Raz581",0,FALSE,FALSE,NA,NA
"I love it when my mom takes out her anger on me
#sarcasm",FALSE,0,NA,2017-09-22 15:48:40,FALSE,NA,"911255937788338178",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rachel_thijssen",0,FALSE,FALSE,NA,NA
"person: ""i have a crush on you"" 
me: ""it'll go away"" #sarcasm #humour",FALSE,0,NA,2017-09-22 15:39:57,FALSE,NA,"911253745245159424",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","sarcasticalarm",0,FALSE,FALSE,NA,NA
"RT @MarkSZaidEsq: Lovely. Nothing inappropriate here. SMH (Yes, #sarcasm!)

https://t.co/gUdxp0ExVf",FALSE,0,NA,2017-09-22 15:38:03,FALSE,NA,"911253267094568960",NA,"<a href=""https://commun.it"" rel=""nofollow"">Commun.it Intelligence</a>","lloyd_t_spencer",9,TRUE,FALSE,NA,NA
"@Emmyjewel way to perpetuate stereotypes!! But is this for women with vaginas or without vaginas? are men with vagi… https://t.co/GKVQ6bpibl",FALSE,0,"Emmyjewel",2017-09-22 15:37:19,TRUE,"911171961543286785","911253082310311936","22358550","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeoMtzMX",0,FALSE,FALSE,NA,NA
"@realDonaldTrump And you were SOOOOOOOOOOOOOOOOOOOO much better . . . #sarcasm #ImpeachTrump #ResignTrump #UnfitToServe",FALSE,0,"realDonaldTrump",2017-09-22 15:36:06,FALSE,"911189860769255424","911252775182278656","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nonpartisantoo",0,FALSE,FALSE,NA,NA
".@DIRECTVNowHelp Wow. Just wow. *shaking head* #stellarcustomerservice &lt;&lt;&lt; #sarcasm @directvnow @DIRECTV",FALSE,0,NA,2017-09-22 15:33:41,FALSE,NA,"911252167281045505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheCreepingCrud",0,FALSE,FALSE,NA,NA
"@CCP_Sine There is nothing like an well informed opinion that is formed from absolutely no first hand knowledge or experience <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> #sarcasm",FALSE,1,"CCP_Sine",2017-09-22 15:32:15,FALSE,"911246654912831488","911251805216141312","2806346559","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SalsaKstream",0,FALSE,FALSE,NA,NA
"RT @peternowak: Three carriers is working very well in Canada! #sarcasm https://t.co/xc3NFlnf8b",FALSE,0,NA,2017-09-22 15:25:45,FALSE,NA,"911250170813194240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kapsar",2,TRUE,FALSE,NA,NA
